"","X2016.12","X2017.12","X2018.12"
"1",2018667,2395754,2437714
"2",1202777,1292907,1323944
"3",815890,1102847,1113770
"4",523484,566397,524903
"5",59763,67972,64514
"6",10018,13366,14477
"7",141114,163556,183541
"8",44321,53508,39985
"9",141679,139165,123417
"10",80025,77031,57548
"11",NA,NA,NA
"12",46564,51799,41423
"13",292407,536450,588867
"14",113856,97374,99993
"15",15043,16142,22971
"16",NA,NA,NA
"17",90525,72789,66957
"18",NA,NA,NA
"19",NA,NA,NA
"20",NA,NA,NA
"21",NA,NA,NA
"22",NA,NA,NA
"23",NA,NA,NA
"24",8288,8443,10065
"25",NA,NA,NA
"26",107066,89789,86089
"27",5878,6554,6746
"28",92322,72695,71498
"29",NA,NA,NA
"30",NA,NA,NA
"31",NA,NA,NA
"32",NA,NA,NA
"33",NA,NA,NA
"34",NA,NA,NA
"35",8865,10540,7844
"36",NA,NA,NA
"37",32383,30107,14850
"38",NA,NA,NA
"39",2399,1289,1314
"40",NA,NA,NA
"41",NA,NA,NA
"42",NA,NA,NA
"43",NA,NA,NA
"44",22468,3143,4235
"45",NA,NA,NA
"46",NA,NA,NA
"47",NA,NA,NA
"48",1077,1435,1409
"49",NA,NA,NA
"50",NA,NA,NA
"51",NA,NA,NA
"52",NA,NA,NA
"53",6439,24239,7893
"54",24638,14196,11420
"55",NA,NA,NA
"56",NA,NA,NA
"57",NA,NA,NA
"58",NA,NA,NA
"59",NA,NA,NA
"60",1265,1225,907
"61",NA,NA,NA
"62",8153,1434,16
"63",NA,NA,NA
"64",NA,NA,NA
"65",NA,NA,NA
"66",15220,11537,10497
"67",195,2014,5398
"68",195,2014,5398
"69",NA,NA,NA
"70",NA,NA,NA
"71",NA,NA,NA
"72",307137,561960,611600
"73",79876,140092,168151
"74",227261,421867,443449
"75",NA,NA,NA
"76",227261,421867,443449
"77",224157,413446,438909
"78",3104,8422,4540
"79",2621743,3017521,3393572
"80",1414297,1469825,1746974
"81",183535,249834,289847
"82",NA,NA,NA
"83",560709,526391,705994
"84",278004,318050,369485
"85",NA,NA,NA
"86",NA,NA,NA
"87",NA,NA,NA
"88",NA,NA,NA
"89",62577,70100,78243
"90",321114,305451,303405
"91",8358,NA,NA
"92",1207446,1547696,1646598
"93",914730,1116656,1154167
"94",53440,147605,148916
"95",NA,NA,NA
"96",NA,NA,NA
"97",68043,78589,83151
"98",58379,68024,73132
"99",400,21209,12645
"100",53215,50617,54680
"101",NA,NA,NA
"102",NA,NA,NA
"103",NA,NA,NA
"104",NA,NA,NA
"105",59240,64996,119907
"106",NA,NA,NA
"107",692113,872607,916041
"108",547041,671751,690815
"109",NA,NA,NA
"110",127468,157676,135867
"111",12328,2786,334
"112",NA,NA,NA
"113",312233,377734,404824
"114",NA,NA,NA
"115",45974,42948,43840
"116",28374,74083,87201
"117",NA,NA,NA
"118",NA,NA,NA
"119",NA,NA,NA
"120",17101,16523,18750
"121",3564,NA,NA
"122",145072,200855,225226
"123",585,9534,9620
"124",11791,17569,350
"125",651,575,501
"126",33171,20437,31940
"127",1737,3899,5041
"128",3581,4643,6636
"129",72935,117108,151625
"130",NA,NA,NA
"131",NA,NA,NA
"132",NA,NA,NA
"133",NA,NA,NA
"134",20621,27090,19513
"135",NA,NA,NA
"136",1929630,2144914,2477532
"137",1864243,2072134,2400690
"138",8975,8975,8975
"139",NA,NA,NA
"140",44039,44039,44039
"141",-97063,-62222,599
"142",-22571,-76770,-79913
"143",1930863,2158112,2426990
"144",65387,72780,76842
"145",473856,621620,670319
"146",227261,421867,443449
"147",NA,NA,NA
"148",367817,413191,484356
"149",11970,9763,9588
"150",NA,NA,NA
"151",NA,NA,NA
"152",1172,2066,NA
"153",193125,205936,251671
"154",14004,15238,13149
"155",NA,NA,NA
"156",NA,NA,NA
"157",NA,NA,NA
"158",NA,NA,NA
"159",NA,NA,NA
"160",NA,NA,NA
"161",25000,25907,20926
"162",NA,NA,NA
"163",NA,NA,NA
"164",NA,NA,NA
"165",NA,NA,NA
"166",NA,NA,NA
"167",NA,NA,NA
"168",NA,NA,NA
"169",NA,NA,NA
"170",NA,NA,NA
"171",NA,NA,NA
"172",NA,NA,NA
"173",NA,NA,NA
"174",1265,1225,907
"175",NA,NA,NA
"176",NA,NA,NA
"177",37743,12964,19484
"178",NA,NA,NA
"179",NA,NA,NA
"180",NA,NA,NA
"181",79876,140092,168151
"182",3661,NA,480
"183",60272,51079,48310
"184",NA,NA,NA
"185",NA,NA,483
"186",35211,34470,36880
"187",NA,NA,NA
"188",2399,1289,1314
"189",NA,NA,NA
"190",NA,NA,NA
"191",NA,NA,NA
"192",NA,NA,NA
"193",NA,NA,NA
"194",NA,NA,NA
"195",NA,NA,NA
"196",NA,NA,NA
"197",NA,NA,NA
"198",NA,NA,NA
"199",NA,NA,NA
"200",NA,NA,NA
"201",NA,NA,NA
"202",NA,NA,NA
"203",NA,NA,NA
"204",NA,NA,NA
"205",22468,3143,4235
"206",NA,NA,NA
"207",NA,NA,NA
"208",NA,NA,NA
"209",195,2014,5398
"210",NA,NA,NA
"211",NA,NA,NA
"212",NA,NA,NA
"213",NA,10161,NA
"214",-11810,-106205,-99244
"215",-14183,-157837,-30124
"216",-821,61119,-37199
"217",NA,NA,NA
"218",3195,-9487,-31920
"219",522996,677774,780251
"220",-49140,-56154,-109932
"221",14051,15811,17885
"222",-4438,-5427,-5483
"223",2569,1733,2160
"224",NA,NA,NA
"225",NA,NA,NA
"226",-61321,-68271,-124494
"227",NA,NA,NA
"228",-296587,-493852,-522405
"229",83882,47434,9213
"230",30100,8875,963
"231",7899,17502,2559
"232",20104,1918,NA
"233",NA,NA,NA
"234",NA,NA,NA
"235",NA,NA,NA
"236",NA,NA,NA
"237",22802,3559,1
"238",2709,3084,5570
"239",69,7,119
"240",NA,NA,NA
"241",NA,NA,NA
"242",199,12488,NA
"243",380469,541286,531617
"244",89102,NA,147535
"245",17415,10794,76787
"246",14981,3585,NA
"247",NA,1068,NA
"248",NA,NA,NA
"249",NA,NA,NA
"250",NA,NA,NA
"251",843,253,512
"252",241430,427922,295564
"253",10477,9837,10205
"254",NA,NA,NA
"255",NA,NA,NA
"256",6221,87827,1014
"257",NA,NA,NA
"258",NA,NA,NA
"259",NA,NA,NA
"260",NA,NA,NA
"261",NA,NA,NA
"262",NA,NA,NA
"263",NA,NA,NA
"264",NA,NA,NA
"265",-86695,-125609,-150902
"266",24060,37347,117
"267",10417,9983,36
"268",13510,27307,NA
"269",NA,NA,NA
"270",NA,NA,NA
"271",NA,NA,NA
"272",NA,NA,NA
"273",NA,NA,NA
"274",NA,NA,NA
"275",NA,NA,NA
"276",132,57,81
"277",NA,NA,NA
"278",79608,94912,49082
"279",2528,11408,19866
"280",NA,NA,20465
"281",NA,NA,NA
"282",NA,NA,NA
"283",NA,NA,NA
"284",NA,NA,NA
"285",NA,NA,NA
"286",77079,83504,8751
"287",NA,NA,NA
"288",NA,NA,NA
"289",-31147,-68043,-101937
"290",NA,NA,NA
"291",NA,NA,NA
"292",NA,NA,NA
"293",-31147,-68043,-101937
"294",NA,NA,NA
"295",NA,NA,NA
"296",NA,NA,NA
"297",NA,NA,NA
"298",NA,NA,NA
"299",4172,-17823,942
"300",94747,-15663,-2046
"301",226367,321114,305451
"302",321114,305451,303405
